Name,Type,Rarity,Price,Type2,Description,Found1,Found2
Spell Scroll,Scroll,,,,"A spell scroll bears the words of a single spell, written in a mystical cipher. If the spell is on your class's spell list, you can read the scroll and cast its spell without providing any material components. Otherwise, the scroll is unintelligible. Casting the spell by reading the scroll requires the spell's normal casting time. Once the spell is cast, the words on the scroll fade, and it crumbles to dust. If the casting is interrupted, the scroll is not lost. If the spell is on your class's spell list but of a higher level than you can normally cast, you must make an ability check using your spellcasting ability to determine whether you cast it successfully. The DC equals 10 + the spell's level. On a failed check, the spell disappears from the scroll with no other effect. The level of the spell on the scroll determines the spell's saving throw DC and attack bonus, as well as the scroll's rarity, as shown in the Spell Scroll table. https://www.aidedd.org/dnd/om.php?vo=spell-scroll ",,
Potion of healing,Potion,Common,50 gp,,"Light red potion. If observed very closely, tiny light sparks can be observed in the liquid. 2d4 + 2 Healing",Torb's and D20,"D20, Torb's, Traveler"
Perfume of bewitching,Wondrous item,Common,100 gp,,"This tiny vial contains magic perfume, enough for one use. You can use an action to apply the perfume to yourself, and its effect lasts 1 hour. For the duration, you have advantage on all Charisma checks directed at humanoids of challenge rating 1 or lower. Those subjected to the perfume's effect are not aware that they've been influenced by magic.","Crannoc Siever, Mayor of Caer Dineval, uses it.",
Charlatan's dice,Wondrous item,Common,50 gp,Attunement,"Almost too ordinary-looking wooden die. Has a brownish stain on one corner - perhaps blood? Whenever you roll this six-sided die, you can control which number it rolls.",D20,D20
Pipe of smoke monsters,Wondrous items,Common,75 gp,,"Long and thin scrimshaw smoking pipe. While smoking this pipe, you can use an action to exhale a puff of smoke that takes the form of a single creature, such as a dragon, a Rumph, or a froghemoth. The form must be small enough to fit in a 1-foot cube and loses its shape after a few seconds, becoming an ordinary puff of smoke.",D20,Helmi
Shirt of gleaming,Armor (chain shirt),Common,50 gp,,AC 13 + Dex modifier (max 2) This shimmery chain shirt flows on you like a cristalling waterfall. It is ornate with flowery patterns of the same metal around the collar and the bottom. This armor never gets dirty.,Torb's,
Potion of Climbing,Wondrous item,Common,40 gp,,"When you drink this potion, you gain a climbing speed equal to your walking speed for 1 hour. During this time, you have advantage on Strength (Athletics) checks you make to climb. The potion is separated into brown, silver, and gray layers resembling bands of stone. Shaking the bottle fails to mix the colors.",Frozenfar,
Green Elemental Gem,Wondrous item,Common,90 gp,,"This gem contains a mote of elemental energy. When you use an action to break the gem, a water elemental is summoned as if you had cast the conjure elemental spell, and the gem's magic is lost. ",D20,D20
Blue Elemental Gem,Wondrous item,Common,90 gp,,"This gem contains a mote of elemental energy. When you use an action to break the gem, an air elemental is summoned as if you had cast the conjure elemental spell, and the gem's magic is lost. ",Fyodor has it,D20
Yellow Elemental Gem,Wondrous item,Common,90 gp,,"This gem contains a mote of elemental energy. When you use an action to break the gem, an earth elemental is summoned as if you had cast the conjure elemental spell, and the gem's magic is lost. ",,
Red Elemental Gem,Wondrous item,Common,90 gp,,"This gem contains a mote of elemental energy. When you use an action to break the gem, a fire elemental is summoned as if you had cast the conjure elemental spell, and the gem's magic is lost. ",,
Pot of awakening,Wondrous item,Common,40 gp,,"If you plant an ordinary shrub in this 10-pound clay pot and let it grow for 30 days, the shrub magically transforms into an awakened shrub (see the Monster Manual for statistics) at the end of that time. When the shrub awakens, its roots break the pot, destroying it. The awakened shrub is friendly toward you. Absent commands from you, it does nothing.",Half-moon tomb where Helmi lived in the elven tomb in Lonelywood forest.,
Potion of greater healing,Potion,Uncommon,200 gp,,"Red potion. Upon close observation, light sparks can be seen in the liquid. 4d4 + 4 Healing",Torb's,D20
Potion of Poison,Potion,Uncommon,300 gp,,"This concoction looks, smells, and tastes like a potion of healing or other beneficial potion. However, it is actually poison masked by illusion magic. An identify spell reveals its true nature. If you drink it, you take 3d6 poison damage, and you must succeed on a DC 13 Constitution saving throw or be poisoned. At the start of each of your turns while you are poisoned in this way, you take 3d6 poison damage. At the end of each of your turns, you can repeat the saving throw. On a successful save, the poison damage you take on your subsequent turns decreases by 1d6. The poison ends when the damage decreases to 0.",Torb's,D20
Dust of Sneezing and Choking,Wondrous item,Uncommon,300 gp,,"Found in a small container, this powder resembles very fine sand. It appears to be dust of disappearance, and an identify spell reveals it to be such. There is enough of it for one use. When you use an action to throw a handful of the dust into the air, you and each creature that needs to breathe within 30 feet of you must succeed on a DC 15 Constitution saving throw or become unable to breathe, while sneezing uncontrollably. A creature affected in this way is incapacitated and suffocating. As long as it is conscious, a creature can repeat the saving throw at the end of each of its turns, ending the effect on it on a success. The lesser restoration spell can also end the effect on a creature.",Torb's,D20
Weirdling's Tea,Drug (tea),Uncommon,200 gp / 100 g,,"A tea that shifts in color from orange to blue, when drank the user sees the effect of a roll on the wild magic table. (This is however just a hallucination)",Torb's,D20
Potion of Resistance,Potion,Uncommon,220 gp,,"When you drink this potion, you gain resistance to one type of damage for 1 hour. The DM chooses the type or determines it randomly from the options below. https://www.aidedd.org/dnd/om.php?vo=potion-of-resistance ",,
Potion of Cold Resistance,Potion,Uncommon,400 gp,,"When you drink this potion, you gain resistance to cold damage for 1 hour.",,D20
Crossbow bolts +1,Amunition,Uncommon,250 gp,,"You have a bonus to attack and damage rolls made with this piece of magic ammunition. The bonus is determined by the rarity of the ammunition. Once it hits a target, the ammunition is no longer magical.",Torb's,
Arrows +1,Amunition,Uncommon,50 gp,,"You have a bonus to attack and damage rolls made with this piece of magic ammunition. The bonus is determined by the rarity of the ammunition. Once it hits a target, the ammunition is no longer magical.",,
Potion of Growth,Potion,Uncommon,200 gp,,"When you drink this potion, you gain the ""enlarge"" effect of the enlarge/reduce spell for 1d4 hours (no concentration required). The red in the potion's liquid continuously expands from a tiny bead to color the clear liquid around it and then contracts. Shaking the bottle fails to interrupt this process.",,
Dust of Dryness,Wondrous item,Uncommon,200 gp,,"This small packet contains 1d6 pinches of dust. You can use an action to sprinkle a pinch of it over water. The dust turns a cube of water 15 feet on a side into one marble-sized pellet, which floats or rests near where the dust was sprinkled. The pellet's weight is negligible. Someone can use an action to smash the pellet against a hard surface, causing the pellet to shatter and release the water the dust absorbed. Doing so ends that pellet's magic. An elemental composed mostly of water that is exposed to a pinch of the dust must make a DC 13 Constitution saving throw, taking 10d6 necrotic damage on a failed save, or half as much damage on a successful one.",Traveler,
Oil of Slipperiness,Potion,Uncommon,200 gp,,"This sticky black unguent is thick and heavy in the container, but it flows quickly when poured. The oil can cover a Medium or smaller creature, along with the equipment it's wearing and carrying (one additional vial is required for each size category above Medium). Applying the oil takes 10 minutes. The affected creature then gains the effect of a freedom of movement spell for 8 hours. Alternatively, the oil can be poured on the ground as an action, where it covers a 10-foot square, duplicating the effect of the grease spell in that area for 8 hours.",Traveler,
Dust of Disappearance,Wondrous item,Uncommon,500 gp,,"Found in a small packet, this powder resembles very fine sand. There is enough of it for one use. When you use an action to throw the dust into the air, you and each creature and object within 10 feet of you become invisible for 2d4 minutes. The duration is the same for all subjects, and the dust is consumed when its magic takes effect. If a creature affected by the dust attacks or casts a spell, the invisibility ends for that creature.",Traveler,D20
Potion of Water Breathing,Potion,Uncommon,250 gp,,You can breathe underwater for 1 hour after drinking this potion. Its cloudy green fluid smells of the sea and has a jellyfish-like bubble floating in it.,Traveler,
Philter of Love,Potion,Uncommon,100 gp,,"The next time you see a creature within 10 minutes after drinking this philter, you become charmed by that creature for 1 hour. If the creature is of a species and gender you are normally attracted to, you regard it as your true love while you are charmed. This potion's rose-hued, effervescent liquid contains one easy-to-miss bubble shaped like a heart.",Traveler,
